CaseID,StandID,Year,RmvCode,Age,Tpa,TPrdTpa,BA,SDI,ZeideSDI,ReinekeSDI,SDIMax,RDSDI,CCF,TopHt,QMD,GMD,TCuFt,TPrdTCuFt,MCuFt,TPrdMCuFt,SCuFt,TPrdSCuFt,BdFt,TPrdBdFt,RTpa,RTCuFt,RMCuFt,RSCuFt,RBdFt,PrdLen,Acc,Mort,MAI,ForTyp,SizeCls,StkCls,variant,config
0eb3af25-4b84-4e93-a4ea-339a25356a14,H4C-N,2108,0,145,360.5433654785156,360.5433654785156,202.4150848388672,351,351,369,434,0.8083112835884094,358,73,10.145630836486816,9.84247875213623,5594.3740234375,5594.3740234375,5311.3447265625,5311.3447265625,2521.025390625,2521.025390625,15199.24609375,15199.24609375,0.0,0.0,0.0,0.0,0.0,5,66.32872772216797,53.796852111816406,36.627586364746094,801,1,1,NE,default
0eb3af25-4b84-4e93-a4ea-339a25356a14,H4C-N,2113,0,150,335.405517578125,335.405517578125,201.45669555664062,346,346,362,432,0.8008219003677368,350,73,10.494028091430664,10.195409774780273,5657.02880859375,5657.02880859375,5396.78125,5396.78125,2607.807861328125,2607.807861328125,15754.3583984375,15754.3583984375,0.0,0.0,0.0,0.0,0.0,5,63.59566116333008,53.001625061035156,35.97999954223633,801,1,1,NE,default
0eb3af25-4b84-4e93-a4ea-339a25356a14,H4C-N,2118,0,155,313.46307373046875,313.46307373046875,200.43116760253906,341,341,356,430,0.7934002876281738,343,74,10.827436447143555,10.533549308776855,5710.00439453125,5710.00439453125,5470.7138671875,5470.7138671875,2713.099853515625,2713.099853515625,16367.771484375,16367.771484375,0.0,0.0,0.0,0.0,0.0,5,62.33802032470703,52.27613830566406,35.296775817871094,801,1,1,NE,default
0eb3af25-4b84-4e93-a4ea-339a25356a14,H4C-N,2123,0,160,294.0793762207031,294.0793762207031,199.37210083007812,336,336,350,430,0.7817668914794922,337,74,11.149011611938477,10.860082626342773,5760.3095703125,5760.3095703125,5537.20166015625,5537.20166015625,2806.700927734375,2806.700927734375,16923.375,16923.375,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,34.60625076293945,801,1,1,NE,default
02ec883f-753f-4d84-8ced-c6b44125ce48,H4C-N,2023,0,60,1495.6910400390625,1495.6910400390625,107.63412475585938,232,232,294,273,0.850416898727417,263,59,3.6323773860931396,3.129074811935425,2082.3505859375,2082.3505859375,1667.976318359375,1667.976318359375,983.0978393554688,983.0978393554688,5817.76123046875,5817.76123046875,0.0,0.0,0.0,0.0,0.0,5,46.68024444580078,15.355501174926758,27.799999237060547,121,1,2,NE,calibrated
02ec883f-753f-4d84-8ced-c6b44125ce48,H4C-N,2028,0,65,1248.5198974609375,1248.5198974609375,113.24769592285156,240,240,296,273,0.8797417879104614,275,61,4.078056335449219,3.5818355083465576,2238.972900390625,2238.972900390625,1789.337646484375,1789.337646484375,1055.38427734375,1055.38427734375,6241.7333984375,6241.7333984375,0.0,0.0,0.0,0.0,0.0,5,48.97087097167969,21.55135154724121,27.5230770111084,801,1,2,NE,calibrated
02ec883f-753f-4d84-8ced-c6b44125ce48,H4C-N,2033,0,70,1004.3509521484375,1004.3509521484375,116.19188690185547,241,241,289,273,0.8834081888198853,275,62,4.60554838180542,4.108133316040039,2376.070556640625,2376.070556640625,1906.5206298828125,1906.5206298828125,1119.16455078125,1119.16455078125,6634.806640625,6634.806640625,0.0,0.0,0.0,0.0,0.0,5,49.7971076965332,23.61195182800293,27.242856979370117,801,1,2,NE,calibrated
02ec883f-753f-4d84-8ced-c6b44125ce48,H4C-N,2038,0,75,819.3314208984375,819.3314208984375,118.41786193847656,240,240,282,273,0.8797423243522644,272,63,5.147717475891113,4.650241374969482,2506.9990234375,2506.9990234375,2017.33203125,2017.33203125,1191.0079345703125,1191.0079345703125,7075.1201171875,7075.1201171875,0.0,0.0,0.0,0.0,0.0,5,50.54254913330078,24.427946090698242,26.893333435058594,801,1,2,NE,calibrated
02ec883f-753f-4d84-8ced-c6b44125ce48,H4C-N,2043,0,80,683.276123046875,683.276123046875,120.46813201904297,239,239,276,273,0.8760771751403809,269,64,5.685575008392334,5.1907429695129395,2637.5693359375,2637.5693359375,2115.16455078125,2115.16455078125,1272.52978515625,1272.52978515625,7605.7646484375,7605.7646484375,0.0,0.0,0.0,0.0,0.0,5,50.045936584472656,24.87726593017578,26.4375,801,1,2,NE,calibrated
02ec883f-753f-4d84-8ced-c6b44125ce48,H4C-N,2048,0,85,581.5792846679688,581.5792846679688,122.4474105834961,237,237,271,273,0.8687450289726257,265,65,6.213073253631592,5.723433971405029,2763.4130859375,2763.4130859375,2246.655517578125,2246.655517578125,1343.8177490234375,1343.8177490234375,8036.958984375,8036.958984375,0.0,0.0,0.0,0.0,0.0,5,49.68478012084961,25.168777465820312,26.435293197631836,801,1,2,NE,calibrated
02ec883f-753f-4d84-8ced-c6b44125ce48,H4C-N,2053,0,90,503.7299499511719,503.7299499511719,124.37725067138672,237,237,267,273,0.8687460422515869,260,66,6.728335380554199,6.24575662612915,2885.993896484375,2885.993896484375,2386.344482421875,2386.344482421875,1417.9852294921875,1417.9852294921875,8485.099609375,8485.099609375,0.0,0.0,0.0,0.0,0.0,5,49.135498046875,25.27260398864746,26.511110305786133,801,1,2,NE,calibrated
02ec883f-753f-4d84-8ced-c6b44125ce48,H4C-N,2058,0,95,442.9041748046875,442.9041748046875,126.24298858642578,236,236,263,273,0.8650797605514526,254,66,7.229111194610596,6.754843711853027,3005.310791015625,3005.310791015625,2523.12158203125,2523.12158203125,1491.0216064453125,1491.0216064453125,8964.115234375,8964.115234375,0.0,0.0,0.0,0.0,0.0,5,47.43550491333008,29.784608840942383,26.55789566040039,801,1,2,NE,calibrated
02ec883f-753f-4d84-8ced-c6b44125ce48,H4C-N,2063,0,100,385.9167175292969,385.9167175292969,126.68667602539062,232,232,257,273,0.8504173755645752,245,67,7.758095741271973,7.289694309234619,3093.562255859375,3093.562255859375,2651.228515625,2651.228515625,1574.9097900390625,1574.9097900390625,9462.83984375,9462.83984375,0.0,0.0,0.0,0.0,0.0,5,45.83899688720703,30.920373916625977,26.510000228881836,801,1,2,NE,calibrated
