CN,LAT,LON,BGI
17893164010661,46.47227,-68.33282,4461.0
17893268010661,46.47226,-67.97169,4083.0
17893336010661,46.72226,-69.16616,3784.0
17893382010661,46.69448,-69.91618,3924.0
17893426010661,46.61114,-69.63839,3816.0
17893487010661,45.97228,-67.99946,4286.0
17893490010661,47.0556,-68.19392,4094.0
17893535010661,45.63895,-68.13835,4388.0
17893595010661,47.11115,-69.08282,4255.0
17893631010661,47.11115,-69.13837,4076.0
17893665010661,47.00004,-68.72171,4306.0
17893729010661,46.05561,-68.05502,4542.0
17893809010661,46.97226,-68.91615,3884.0
17893858010661,46.97226,-68.94393,3935.0
17893890010661,47.05559,-68.94393,3968.0
17893893010661,46.94448,-68.97171,4021.0
17893964010661,46.75003,-69.74951,3016.0
17894028010661,47.00004,-69.02726,4082.0
17894128010661,47.0556,-68.2217,3292.0
17894182010661,46.3056,-67.77724,0.0
17894232010661,47.08337,-68.2217,4298.0
17894278010661,47.19448,-69.05504,3992.0
17894338010661,46.63893,-67.8328,4791.0
17894375010661,46.41671,-68.05503,4191.0
17894417010661,46.66671,-69.02727,3982.0
17894509010661,46.61115,-69.16616,3538.0
17894556010661,46.77781,-69.19394,4217.0
17894639010661,47.08337,-68.24948,3762.0
17894695010661,45.77783,-68.19391,4840.0
17894765010661,46.33338,-67.86058,4327.0
17894909010661,46.36116,-67.86058,2910.0
17894943010661,46.3056,-68.11058,4073.0
17895003010661,47.19448,-68.24948,3918.0
17895005010661,46.61115,-69.19394,4269.0
17895032010661,46.44449,-68.08281,3687.0
17895101010661,46.88893,-67.88835,4630.0
17895192010661,47.08338,-67.86058,4944.0
17895261010661,46.11116,-68.22169,4526.0
17895333010661,46.94448,-69.19393,4438.0
17895391010661,46.77781,-69.80507,3109.0
17895457010661,47.05559,-69.22171,2779.0
17895524010661,46.94448,-69.27727,4185.0
17895585010661,46.80559,-69.24949,4410.0
17895647010661,46.75004,-69.24949,3967.0
17895700010661,46.80559,-69.24949,4410.0
17895801010661,46.83337,-69.24949,4274.0
17895852010661,46.58336,-69.86062,3761.0
17895857010661,46.61114,-69.8884,3626.0
17895925010661,46.25005,-67.91613,3673.0
17896008010661,46.44449,-67.91614,4320.0
17896087010661,47.11115,-68.27726,4230.0
17896147010661,47.11115,-68.27726,4230.0
17896213010661,46.02783,-68.11058,4524.0
17896262010661,47.19448,-68.27726,4115.0
17896362010661,46.77782,-67.91614,5029.0
17896364010661,46.61115,-69.30505,4146.0
17896411010661,46.6667,-69.33283,3584.0
17896483010661,47.13893,-67.91613,4185.0
17896550010661,47.00003,-69.3606,4135.0
17896642010661,46.58337,-69.36061,2652.0
17896709010661,46.6667,-69.8884,3452.0
17896718010661,46.77781,-69.8884,4047.0
17896779010661,46.75003,-69.41616,4280.0
17896817010661,46.75003,-69.38838,4380.0
17896857010661,46.69448,-69.44394,4129.0
17896928010661,46.61115,-67.97169,4368.0
17897023010661,46.83336,-69.41616,3907.0
17897112010661,46.27783,-68.16614,3911.0
17897195010661,47.30559,-69.13838,4139.0
17897279010661,46.97225,-69.44394,3898.0
17897344010661,46.8056,-68.33282,4364.0
17897348010661,46.91671,-68.30504,4021.0
17897440010661,47.08337,-68.30504,4563.0
17897495010661,47.13893,-68.33282,3413.0
17897590010661,46.6667,-69.44394,4305.0
17897650010661,46.75004,-68.88838,3821.0
17897728010661,46.66671,-68.3606,4397.0
17897730010661,46.69449,-68.3606,4200.0
17897817010661,47.22226,-69.16615,4114.0
17897872010661,46.97227,-67.99947,4592.0
17897874010661,46.75004,-68.3606,3365.0
17897944010661,46.77782,-68.05503,4989.0
17898023010661,46.36116,-67.91613,4250.0
17898155010661,47.36115,-69.16616,2614.0
17898218010661,47.11115,-68.05503,3711.0
17898302010661,46.97226,-68.36059,3924.0
17898371010661,47.25004,-68.05503,4140.0
17898438010661,47.05559,-69.33282,4460.0
17898522010661,46.66671,-68.38837,4307.0
17898613010661,46.69449,-68.08281,4702.0
17898691010661,46.33338,-68.24948,4006.0
17898733010661,47.08338,-68.11059,4418.0
17898854010661,46.66671,-68.24948,4058.0
17898935010661,46.58337,-68.16615,4024.0
17899008010661,47.3056,-68.19393,4255.0
17899052010661,46.3056,-68.27726,3968.0
17899085010661,46.3056,-68.24948,3800.0
17899136010661,46.86115,-68.16614,4722.0
17899181010661,47.0556,-68.13836,4473.0
17899288010661,46.5556,-68.27726,4322.0
17899383010661,46.47227,-68.33282,4461.0
17899457010661,46.22227,-68.30503,4549.0
17899532010661,47.25003,-69.27727,4111.0
17899598010661,46.72226,-68.2217,4318.0
17899663010661,46.75004,-68.44393,3564.0
17899736010661,46.86115,-68.24948,3862.0
17899850010661,46.38893,-68.27726,4338.0
17899953010661,47.02782,-68.44393,2759.0
17899998010661,47.08337,-68.44393,3850.0
17900060010661,46.5556,-68.27726,4322.0
17900189010661,45.72228,-68.22169,4944.0
17900260010661,47.3056,-68.3606,4111.0
17900341010661,46.75004,-68.27726,3962.0
17900417010661,46.77782,-68.27726,4204.0
17900496010661,47.02782,-68.47171,4064.0
17900528010661,45.9445,-68.27725,4591.0
17900591010661,45.77783,-68.30502,5032.0
17900605010661,46.88893,-68.49949,4180.0
17900693010661,46.63893,-68.38837,4324.0
17900736010661,45.83339,-68.3328,4889.0
17900811010661,46.94448,-68.52727,4107.0
17900884010661,47.22226,-69.36061,4065.0
17900980010661,47.16671,-68.44393,4300.0
17901019010661,46.11116,-68.33281,4603.0
17901027010661,46.91671,-68.55504,4084.0
17901108010661,46.13894,-68.24947,4112.0
17901183010661,46.38893,-68.49949,3832.0
17901214010661,46.52782,-68.49949,3991.0
17901322010661,46.5556,-68.49949,3885.0
17901377010661,46.63893,-68.58282,4399.0
17901436010661,46.58337,-68.49949,4526.0
17901506010661,46.66671,-68.58282,4449.0
17901539010661,46.61115,-68.49949,4272.0
17901567010661,46.44449,-68.77727,3952.0
17901655010661,46.77782,-68.41615,4484.0
17901718010661,46.22227,-68.33281,4386.0
17901804010661,47.25003,-69.38839,3791.0
17901845010661,46.02783,-68.36058,2949.0
17901973010661,47.22226,-68.55505,3857.0
17902033010661,46.97226,-68.6106,3882.0
17902099010661,46.25005,-68.33281,4104.0
17902208010661,47.13893,-68.63838,4407.0
17902304010661,46.97226,-68.55504,4159.0
17902364010661,45.66672,-68.38836,4998.0
17902402010661,46.80559,-69.52728,4444.0
17902458010661,46.88892,-69.52728,4260.0
17902502010661,46.88892,-69.52728,4260.0
17902588010661,46.94447,-69.52728,3765.0
17902631010661,46.61115,-68.74949,3169.0
17902682010661,46.69449,-68.72171,3778.0
17902702010661,47.08337,-68.72171,3993.0
17902768010661,47.19448,-68.83282,4516.0
17902823010661,46.9167,-69.55506,4334.0
17902890010661,46.77782,-68.74949,4356.0
17902995010661,46.6667,-69.66617,4118.0
17903047010661,46.88892,-69.66617,3731.0
17903161010661,46.69447,-69.63839,4018.0
17903189010661,46.77782,-68.83282,4223.0
17903266010661,46.88892,-69.66617,3731.0
17903326010661,46.9167,-69.72173,4282.0
17903365010661,46.75004,-68.8606,4205.0
17903421010661,46.61115,-68.91616,4148.0
17903483010661,46.88892,-69.80507,0.0
17903485010661,46.61115,-68.94394,3862.0
17903539010661,45.77783,-68.36058,4434.0
17903653010661,45.80561,-67.83279,3426.0
17903731010661,46.33338,-68.33281,4493.0
17903813010661,45.83339,-68.0828,5098.0
17903868010661,45.91672,-68.41614,4133.0
17903946010661,45.97227,-68.3328,4164.0
17904095010661,46.00005,-68.36058,4258.0
17904099010661,46.05561,-67.99946,4348.0
17904158010661,46.08339,-67.8328,4257.0
17904226010661,46.25005,-67.99947,4042.0
17904294010661,46.19449,-68.16614,4031.0
17904319010661,46.69448,-69.97174,3550.0
17904342010661,46.75003,-69.83284,4054.0
17904408010661,46.9167,-69.61061,3989.0
17904491010661,47.4167,-69.02728,0.0
17904519010661,47.4167,-69.11061,4200.0
17904553010661,47.1667,-69.02726,3946.0
17904604010661,47.08337,-69.02726,4402.0
17904665010661,46.80559,-69.02727,3953.0
17904744010661,47.38893,-69.22172,3257.0
17904842010661,47.36115,-69.13838,3600.0
17904890010661,47.19448,-69.19393,4215.0
17904940010661,46.9167,-69.24949,4198.0
