SPCD,FORM,A,B,C,CWMAX,DBHMAX
6535,1,8.00001,1.53,0,0,0
6696,2,7.11934,0.491,0,0,0
6708,1,4.07906,1.4189,0,0,0
6748,2,7.11934,0.491,0,0,0
6782,2,7.11934,0.491,0,0,0
6791,2,7.11934,0.491,0,0,0
6797,2,7.11934,0.491,0,0,0
6799,2,7.11934,0.491,0,0,0
6918,2,7.11934,0.491,0,0,0
6955,2,7.11934,0.491,0,0,0
7060,1,8.00001,1.53,0,0,0
7181,2,7.11934,0.491,0,0,0
7454,1,8.00001,1.53,0,0,0
7455,1,8.00001,1.53,0,0,0
7469,2,7.11934,0.491,0,0,0
7565,1,8.00001,1.53,0,0,0
7577,2,7.11934,0.491,0,0,0
7578,2,7.11934,0.491,0,0,0
7651,2,7.11934,0.491,0,0,0
7845,1,8.00001,1.53,0,0,0
7912,1,8.00001,1.53,0,0,0
8296,2,7.11934,0.491,0,0,0
8345,2,7.11934,0.491,0,0,0
8355,1,8.00001,1.53,0,0,0
8357,2,7.11934,0.491,0,0,0
8420,2,7.11934,0.491,0,0,0
8421,2,7.11934,0.491,0,0,0
8423,2,7.11934,0.491,0,0,0
8427,2,7.11934,0.491,0,0,0
8441,2,7.11934,0.491,0,0,0
8449,2,7.11934,0.491,0,0,0
8487,2,7.11934,0.491,0,0,0
8511,2,13.3857,0.31,0,0,0
8513,2,13.3857,0.31,0,0,0
8514,2,13.3857,0.31,0,0,0
8529,1,8.00001,1.53,0,0,0
8563,1,8.00001,1.53,0,0,0
8612,2,7.11934,0.491,0,0,0
8651,1,1.8,1.883,0,69,0
8813,2,7.11934,0.491,0,0,0
8860,2,7.11934,0.491,0,0,0
8901,1,8.00001,1.53,0,0,0
8944,2,7.11934,0.491,0,0,0
