PLOT,MEASYEAR,N_LIVE,N_DEAD,N_REMOVED,TPA,BA_FT2_AC,QMD_IN,SDI,REL_DENSITY,DBH_MEAN_IN,DBH_MIN_IN,DBH_MAX_IN,HT_MEAN_FT,LOREYS_HT_FT,DSTRBCD1,NOTES,TPA_INGROWTH,TPA_ALL,METRICS_RELIABLE,CURTIS_RD
1162,1989,4,0,0,20,12.1,10.53,21.7,0.0517,10.03,7,15.4,,,,,0,20,N,3.73
1162,1994,8,0,0,40,19.45,9.44,36.5,0.0869,8.71,4.5,15.7,,,,,25,40,N,6.33
1162,1999,16,0,0,80,33.82,8.8,65.2,0.1553,8.12,5.2,19.6,,,,,5,80,Y,11.4
1163,1995,20,0,0,100,33.21,7.8,67.2,0.1599,7.6,4.6,10.7,,,,,0,100,Y,11.89
1163,2000,38,0,0,190,60.88,7.66,124,0.2952,7.51,4.5,11.2,,,,,0,190,Y,21.99
1164,1986,3,0,0,15,11.53,11.87,19.8,0.047,11.1,6,16.3,,,,,0,15,N,3.35
1164,1990,0,0,0,0,0,0,0,0,0,,,,,,NO_LIVE_TREES,0,0,N,0
1164,1995,3,0,1,15,9.95,11.03,17.6,0.0418,11,10,12,,,,,0,15,N,3
1170,1995,23,0,0,115,56.44,9.49,105.7,0.2516,9.32,5.8,12.3,45.3,45.2,,,0,115,Y,18.33
1170,2000,32,0,0,160,69.03,8.89,132.6,0.3156,8.45,4.5,15,18.8,18.8,,,45,160,Y,23.15
1171,1989,26,0,0,130,49,8.31,96.6,0.2301,8.01,4.6,13.5,,,,,0,135,Y,16.99
1171,1994,20,0,0,100,38.45,8.4,75.5,0.1799,8.11,4.7,13,,,,,0,100,N,13.27
1171,1999,33,0,0,165,54.59,7.79,110.5,0.2631,7.53,4.7,13.2,,,,,0,165,Y,19.56
1172,1989,8,0,0,40,14.77,8.23,29.3,0.0696,8.19,6.6,9.4,,,,,0,40,N,5.15
1172,1994,36,0,0,180,97.25,9.95,178.6,0.4253,9.22,4.8,19.6,,,,,0,180,N,30.83
1173,1989,2,0,0,10,4.18,8.75,8.1,0.0192,8.75,8.5,9,,,,,0,10,N,1.41
1173,1994,20,0,0,100,32.44,7.71,65.9,0.1569,7.43,4.5,10.6,,,,,0,110,N,11.68
1173,1999,34,0,0,170,54.91,7.7,111.7,0.2659,7.35,4.5,14.4,,,,,0,175,Y,19.8
1174,1989,23,0,0,115,40.93,8.08,81.6,0.1944,7.89,4.9,12.9,,,,,0,115,N,14.4
1174,1994,21,0,0,105,37.31,8.07,74.5,0.1773,7.36,4.6,19.8,,,,,0,105,N,13.13
1165,1990,20,1,0,100,54.62,10.01,100.1,0.2384,9.07,4.7,21.5,39,50.1,,,15,105,Y,17.27
1165,1995,20,1,0,100,54.62,10.01,100.1,0.2384,9.07,4.7,21.5,39,50.1,,,15,105,Y,17.27
1165,2000,17,0,0,85,57.13,11.1,100.5,0.2393,10.13,5.2,21.8,50.1,60.1,,,0,90,Y,17.15
1166,1990,25,0,0,125,115.69,13.03,191.1,0.455,11.82,6,27,43.8,49.9,,,0,125,Y,32.05
1166,1995,37,0,1,185,140.48,11.8,241.3,0.5744,10.58,5.1,27.4,42.8,52.4,,,0,185,Y,40.9
1166,2000,16,0,0,80,30.91,8.42,60.7,0.1444,8.17,5.2,14.3,36.9,40,,,0,80,N,10.65
1167,1990,1,0,0,5,0.55,4.5,1.4,0.0033,4.5,4.5,4.5,,,,NO_LIVE_TREES,0,0,N,0.26
1167,1995,17,0,0,85,45.74,9.93,84.1,0.2002,9.74,7.4,15.2,38.9,40.3,,,0,85,N,14.51
1167,2000,27,0,0,135,65.81,9.45,123.4,0.2937,9.11,4.5,15.3,40.3,42.5,,,0,135,N,21.4
1168,1986,0,1,1,0,0,0,0,0,0,,,,,,,0,10,N,0
1169,1986,14,0,0,70,49.57,11.39,86.3,0.2055,11.03,5.5,16.1,37,37,,,0,70,Y,14.69
1169,1990,14,0,0,70,52.61,11.74,90.5,0.2156,11.41,8.1,18.7,40,40,,,0,70,Y,15.36
1169,1995,37,1,2,185,96.01,9.75,177.8,0.4232,9.37,5,14.3,34.3,39,,,40,190,Y,30.74
1169,2000,22,0,0,110,49.77,9.11,94.7,0.2254,8.74,4.6,14.8,34.1,39.3,,,0,110,N,16.49
1175,1989,0,0,0,0,0,0,0,0,0,,,,,,NO_LIVE_TREES,0,0,N,0
1175,1994,0,0,0,0,0,0,0,0,0,,,,,,NO_LIVE_TREES,0,0,N,0
1175,1999,10,1,0,50,26.16,9.79,48.4,0.1152,9.25,5.8,16.3,128.8,126.4,,,0,55,Y,8.36
1176,1989,0,1,0,0,0,0,0,0,0,,,,,,NO_LIVE_TREES,0,5,N,0
1176,1994,5,0,0,25,15.99,10.83,28.4,0.0676,10.36,4.8,13.4,25,23.6,,,0,25,N,4.86
1176,1999,10,0,0,50,11.34,6.45,24.7,0.0589,6.19,4.5,10,118.7,119.3,,,0,50,Y,4.47
1177,1989,8,0,1,40,38.25,13.24,62.8,0.1494,12.53,8,19.2,25,25,,,20,40,N,10.51
1177,1994,1,0,0,5,5.35,14,8.6,0.0204,14,14,14,140,140,,,0,5,N,1.43
1177,1999,3,0,0,15,2.96,6.01,6.6,0.0158,5.92,5,7.4,21,21,,,0,15,N,1.21
1178,1989,17,0,0,85,56.37,11.03,99.4,0.2367,10.2,5.8,18.9,48,48,,,0,85,N,16.97
1178,1994,13,0,0,65,24.08,8.24,47.7,0.1135,7.4,4.5,18.7,88.4,120.1,,,0,70,Y,8.39
1178,1999,19,0,0,95,40.51,8.84,78,0.1856,8.31,4.8,18.2,128,129.9,,,0,95,Y,13.62
1179,1989,4,0,0,20,8.47,8.81,16.3,0.0389,8.62,6.1,10.6,120,120,,,25,20,N,2.85
1179,1994,18,0,0,90,21.2,6.57,45.9,0.1092,6.47,4.7,8.3,132.5,134.2,,,0,90,N,8.27
1179,1999,13,1,1,65,21.47,7.78,43.5,0.1035,7.45,4.5,12.6,140,142.8,,,0,70,Y,7.7
1180,1989,7,0,0,35,23.11,11,40.8,0.0972,10.11,5.5,16.8,,,,,0,60,N,6.97
1180,1994,1,0,0,5,1.12,6.4,2.4,0.0058,6.4,6.4,6.4,22,22,,,0,5,N,0.44
1180,1999,20,0,0,100,37.38,8.28,73.8,0.1758,7.66,4.8,16.9,12.8,14.3,,,0,100,N,12.99
1181,1989,13,0,0,65,34.97,9.93,64.3,0.1531,8.18,4.5,24.8,,,,,0,65,N,11.1
1181,1994,7,0,0,35,24.31,11.28,42.5,0.1012,10.31,6.8,18.2,30,29,,,0,40,N,7.24
