PLOT,MEASYEAR,SPCD,SPECIES,N_LIVE,TPA,BA_FT2_AC,BA_PCT,QMD_IN
1230,1987,12,Balsam fir,39,195,27.4,39.9,5.08
1230,1991,97,Red spruce,39,195,50.46,58.8,6.89
1230,1991,12,Balsam fir,39,195,35.32,41.2,5.76
1230,1995,97,Red spruce,39,195,63.76,58.4,7.74
1230,1995,12,Balsam fir,39,195,45.38,41.6,6.53
1230,2001,97,Red spruce,16,80,38.05,62.9,9.34
1230,2001,12,Balsam fir,15,75,22.42,37.1,7.4
1231,1987,97,Red spruce,19,95,33.55,78.3,8.05
1231,1987,12,Balsam fir,4,20,9.31,21.7,9.24
1231,1991,97,Red spruce,22,110,41.2,79.7,8.29
1231,1991,12,Balsam fir,4,20,10.48,20.3,9.8
1231,1996,97,Red spruce,28,140,36.29,76.7,6.89
1231,1996,12,Balsam fir,8,40,11.03,23.3,7.11
1232,1987,12,Balsam fir,5,25,13.43,72.2,9.92
1232,1987,97,Red spruce,2,10,3.5,18.8,8.02
1232,1987,71,Tamarack,1,5,1.66,8.9,7.8
1232,1991,12,Balsam fir,11,55,21.53,52.1,8.47
1232,1991,97,Red spruce,8,40,10.98,26.6,7.1
1232,1991,71,Tamarack,7,35,8.8,21.3,6.79
1232,1996,71,Tamarack,5,25,8.43,42.2,7.86
1232,1996,97,Red spruce,5,25,8.42,42.1,7.86
1232,1996,12,Balsam fir,2,10,3.15,15.7,7.6
1232,2001,12,Balsam fir,13,65,13.85,41.9,6.25
1232,2001,71,Tamarack,7,35,9.78,29.6,7.16
1232,2001,97,Red spruce,7,35,9.42,28.5,7.02
1234,1991,97,Red spruce,29,145,25.97,62.6,5.73
