cn,t1,variant,oBA,dBA,cBA,oTPH,dTPH,cTPH,oQMD,dQMD,cQMD,oVOL,dVOL,cVOL
451063409489998,15666490020004,ne,16.483279681425977,18.249442584228515,18.184406884765625,593.5502214614652,600.2467417356537,658.4916471016479,18.802880528042383,19.673656215667727,18.749931106567384,76.38740456475144,92.39360100024413,91.68154965301513
251632615489998,168990790010661,ne,18.02187834217334,17.483234564208985,17.352751513671876,778.793466415637,725.0512850256591,802.5103153425293,17.164066384777474,17.520707445144655,16.591436405181884,71.46983823046114,97.6698619736328,92.27114690783691
168262726020004,144997542010661,ne,32.42549827091581,34.659096752929685,34.45191512451172,920.7103610727113,935.5163999138855,1026.4765629542358,21.174497974937328,21.717417125701903,20.670797386169433,201.69527329009406,243.09589838037107,240.58286733581542
70427551010538,52833651010538,ne,13.164230020441194,14.693644137573243,14.663923767089843,1164.1508717608551,672.9578843945984,744.9278541936401,11.998429545645944,16.67231809616089,15.830448455810547,75.53476868829071,81.34372770379638,79.87725674670409
721819850290487,304030231489998,ne,13.081511626085177,15.570037280273437,15.313865606689452,1016.7281134056336,877.9926836047852,932.25594818974,12.798464202281831,15.025348615646363,14.461055297851562,39.766620175431235,66.13109366970825,57.54793219735718
145024153010661,70626194010538,ne,22.961976872399163,23.421897631835936,23.165647131347654,876.0976147620867,821.4401047113464,894.3911661222656,18.266683209605826,19.05234239578247,18.158650579452516,98.12595811013911,136.29515100579832,134.54040519506836
171138083020004,145024619010661,ne,33.03275141042322,42.37931617431641,37.417288671875,4284.830601121548,4415.487183690528,3877.412805602051,9.906878905142888,11.053832311630249,11.083840169906617,91.24413416928923,111.45888398297119,106.03491862731933
222442029010661,74958913010538,ne,47.98889865061267,49.77761352539063,50.629707836914065,1468.3614402100252,830.2176696881104,1042.4254476093017,20.397888538813472,27.627792797088624,24.865962829589844,398.84528731886445,482.43543427563475,485.45260071191404
171871618020004,144988615010661,ne,29.971762027051696,28.09926892089844,28.722106567382813,3009.7910615908963,2759.382221310498,3158.823905416626,11.259504329456908,11.385883264541626,10.758969011306762,126.9845475548812,123.97114927789306,122.35164057214355
168928807010661,70412590010538,ne,30.107371208823004,32.392546484374996,31.753060595703126,1231.713189233555,1236.659114408972,1308.7146752133544,17.6405828856671,18.260925102233887,17.575007667541506,167.91337755510375,216.1619031540527,211.77999225793457
