"PLOT","YEAR_PREV","YEAR_CURR","tree_idx","SP","DBH_cm","HT_m","EXPF_ha"
1106,1990,2000,61,"WC",15.8632160571819,8.90459422558039,11.4387564932267
1106,1990,2000,62,"WC",15.5977944219747,8.90230701910005,11.4464380244313
1106,1990,2000,63,"WC",15.0670899321862,8.89863235605114,11.4619212771381
1106,1990,2000,64,"BF",14.9564910472757,10.599302817252,9.75059135505209
1106,1990,2000,65,"BF",14.8894805178519,13.136592923375,9.75307199117908
1106,1990,2000,66,"PB",14.824919470036,8.97607069869771,10.7409907684986
1106,1990,2000,67,"BF",14.8011560831699,7.38085264031379,9.76750985267911
1106,1990,2000,68,"BF",14.6102392877233,13.7642298431321,9.77468494631833
1106,1990,2000,69,"PB",14.3815373828191,5.9066011586526,10.7352236404503
1106,1990,2000,70,"BF",14.3498096168735,13.7620552180767,9.79585789913417
1106,1990,2000,71,"EH",14.384992929101,5.63938823696702,11.9709150341907
1106,1990,2000,72,"BF",14.0911384735171,13.7603256825334,9.81724031914613
1106,1990,2000,73,"WC",13.7001793214546,10.049637236078,11.5016588721692
1106,1990,2000,74,"WC",13.5185307983266,7.70954280020936,11.5084699098168
1106,1990,2000,75,"BF",13.3747442873858,11.2230633384067,9.88073877192929
